Generating SQLite file /tmp/nsys-4k.sqlite from /tmp/nsys-4k.nsys-rep
Processing [/tmp/nsys-4k.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
      0.2         12152864         72   168789.8   165328.0    158144    241472      12232.0  void cub::CUB_300001_SM_1210::detail::segmented_sort::DeviceSegmentedSortKernelLarge<(cub::CUB_3000…
      0.2         10789280        523    20629.6    25312.0      3744     78752       8826.6  void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, u…
      0.2          9652253        110    87747.8    82272.0      7552    223136      50318.3  void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, con…
      0.2          8233824         86    95742.1    91584.0     77504    169632      17803.2  void mul_mat_vec_q_moe<(ggml_type)20, (int)2>(const void *, const void *, const int *, float *, uns…
      0.2          7962208       2068     3850.2     2464.0      1248     40032       2980.4  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, floa…
      0.2          7899776          3  2633258.7  2637728.0   2585312   2676736      45875.6  void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, co…
      0.2          7373849        766     9626.4     9184.0      8832     37504       2072.3  void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)1>(const int *, const int *, float *, f…
      0.1          7030656        532    13215.5    15904.0      3680     81984       6860.1  void topk_moe_cuda<(int)512, (bool)0>(const float *, float *, int *, float *, int, int, float, floa…
      0.1          6914584        145    47686.8    23520.0     16800    116576      35529.9  void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)0, (bool)1>(const void *, const void *, con…
      0.1          6040980        408    14806.3     6672.0       992    177760      17229.1  void cpy_scalar_transpose<float>(const char *, char *, long, long, long, long, long, long, long, lo…
      0.1          5708084        696     8201.3     6592.0      2048     47584       6211.2  void mul_mat_vec_f<float, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, con…
      0.1          5466624       1827     2992.1     2112.0       960     57312       2983.6  quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)             
      0.1          5168383        576     8972.9     4240.0      1088     73728      11337.1  void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, …
      0.1          4591566       2162     2123.8     2080.0       832     34944       1738.4  void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)                                     
      0.1          4239199         47    90195.7    87968.0     81760    147488      10623.9  void mul_mat_vec_q<(ggml_type)21, (int)1, (bool)1, (bool)0, (bool)0>(const void *, const void *, co…
      0.1          3668862        216    16985.5    18784.0      2272     52128       6361.9  void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long, long, long, uint3, long, long, l…
      0.1          3627103         75    48361.4    40736.0      6528    149760      49639.9  void k_argsort_f32_i32<(ggml_sort_order)1>(const float *, int *, int, int)                          
      0.1          2920960       1166     2505.1     1856.0       832    119488       9151.5  void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)                                        
      0.1          2861376        144    19870.7    19232.0       832    104384      16893.9  void unary_op_kernel<&op_relu, float>(const T2 *, T2 *, int)                                        
      0.1          2724156        150    18161.0    16624.0      8864    168096      18165.1  void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)1, (bool)0>(const void *, const void *, con…
      0.1          2635456        264     9982.8     6256.0      2304     49664       9411.2  void mul_mat_vec_f<float, float, (int)2, (int)256, (bool)0, (bool)0>(const T1 *, const float *, con…
      0.1          2633151         96    27428.7    25440.0     22528     61376       7368.5  void flash_attn_stream_k_fixup_general<(int)256, (int)8, (int)8>(float *, const float2 *, int, int,…
      0.1          2620832        524     5001.6     2432.0      1120     69184       6462.8  void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long…
      0.1          2569472         97    26489.4    26336.0     22848     32416       1585.9  void mul_mat_q<(ggml_type)8, (int)64, (bool)1>(const char *, const int *, const int *, const int *,…
      0.0          2433568         84    28971.0    27536.0     26240     75200       6309.7  nvjet_sm121_tss_mma_64x128x64_4_64x32x64_tmaAB_bz_TNNN                                              
      0.0          2407262        144    16717.1    11872.0      1056     54880      16892.7  void cpy_scalar_contiguous<__half, float>(const char *, char *, long)                               
      0.0          2247968         43    52278.3    52096.0     48256     62112       2616.9  void mul_mat_vec_q<(ggml_type)20, (int)1, (bool)0, (bool)1, (bool)0>(const void *, const void *, co…
      0.0          2243423        432     5193.1     4704.0       928     42176       3155.1  void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, lo…
      0.0          2037184        144    14147.1    15952.0      1696     68608       8125.9  void k_get_rows_float<__half, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned lon…
      0.0          1928480        144    13392.2    14960.0      1024     41216      10162.3  void k_set_rows<float, int, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, lon…
      0.0          1898688          2   949344.0   949344.0    924320    974368      35389.3  void mul_mat_q<(ggml_type)23, (int)112, (bool)0>(const char *, const int *, const int *, const int …
      0.0          1891840        144    13137.8    10112.0      1056     67840      12104.8  void k_bin_bcast<&op_add, __half, __half, __half, const __half *>(const T2 *, const T3 *, T4 *, uns…
      0.0          1775133        217     8180.3     7840.0      6400     38688       3271.1  void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)112, (bool)0>(const int *, const int *, float *, f…
      0.0          1752831         48    36517.3    36336.0     34336     43360       1609.5  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_32x6_tn_align4>(T1::Params)               
      0.0          1662784        192     8660.3     9584.0      3616     38720       5030.3  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x10_tn_align4>(T1::Params)              
      0.0          1628192        108    15075.9    15888.0       704     41600      10724.8  init_indices(int *, int, int)                                                                       
      0.0          1611520         10   161152.0   159664.0    129472    203232      25021.0  void mul_mat_vec_q_moe<(ggml_type)8, (int)2>(const void *, const void *, const int *, float *, unsi…
      0.0          1598560        391     4088.4     4224.0       864     22304       1943.2  void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)                                    
      0.0          1531040         24    63793.3    62576.0     15808    119648      48920.4  void cub::CUB_300001_SM_1210::detail::segmented_sort::DeviceSegmentedSortFallbackKernel<(cub::CUB_3…
      0.0          1448128          2   724064.0   724064.0    718816    729312       7421.8  void mul_mat_q<(ggml_type)23, (int)48, (bool)0>(const char *, const int *, const int *, const int *…
      0.0          1429407        144     9926.4    10368.0       672     43488       7479.8  void fill_kernel<float>(T1 *, long, T1)                                                             
      0.0          1346976         84    16035.4    14528.0     13344     59584       6995.2  nvjet_sm121_tss_mma_32x64x64_8_32x16x64_tmaAB_bz_TNNN                                               
      0.0          1313406        351     3741.9     3840.0       864     29248       2370.0  void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)48, (bool)0>(const int *, const int *, float *, fl…
      0.0          1282688         48    26722.7    25696.0     24032     70368       6638.5  void mul_mat_f<float, (int)32, (int)4, (int)8, (bool)0>(const T1 *, const float *, const int *, flo…
      0.0          1017600         48    21200.0    20256.0     17920     77664       8401.6  void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)1, (bool)0, (bool)0>(const void *, const void *, con…
      0.0           898528         97     9263.2     9056.0      8672     17536        971.1  void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)64, (bool)1>(const int *, const int *, float *, fl…
      0.0           814367        144     5655.3     6176.0       672     27296       4508.5  void fill_kernel<__half>(T1 *, long, T1)                                                            
      0.0           760352        108     7040.3     7120.0      3456     27200       2841.8  void ssm_conv_f32<(bool)1, (unsigned long)128, (unsigned long)4>(const float *, const float *, cons…
      0.0           690208         12    57517.3    51696.0     49056     98080      14624.2  void flash_attn_ext_vec<(int)256, (int)1, (ggml_type)1, (ggml_type)1, (bool)0>(const char *, const …
      0.0           608127         12    50677.3    50848.0     48640     52448       1415.8  void flash_attn_ext_f16<(int)256, (int)256, (int)4, (int)8, (bool)0, (bool)0>(const char *, const c…
      0.0           568096         24    23670.7    22880.0     15264     28448       3554.4  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x256_16x3_tn_align4>(T1::Params)             
      0.0           326271         24    13594.6    13840.0      9152     37728       5662.1  void mul_mat_f<__nv_bfloat162, (int)32, (int)2, (int)7, (bool)0>(const T1 *, const float *, const i…
      0.0           310880          4    77720.0    77440.0     74976     81024       2496.9  void mul_mat_vec_q_moe<(ggml_type)23, (int)2>(const void *, const void *, const int *, float *, uns…
      0.0           305663         24    12736.0    12032.0      9248     25215       3697.1  void mul_mat_f<__nv_bfloat162, (int)32, (int)4, (int)7, (bool)0>(const T1 *, const float *, const i…
      0.0           298304         12    24858.7    24672.0     23584     26304        736.2  nvjet_sm121_tss_mma_64x104x64_4_16x104x64_tmaAB_bz_TNNN                                             
      0.0           281024         72     3903.1     3904.0      3712      4864        146.2  void cub::CUB_300001_SM_1210::detail::three_way_partition::DeviceThreeWayPartitionKernel<cub::CUB_3…
      0.0           247584         24    10316.0    10768.0      6464     15776       2390.9  void mul_mat_vec_f<__nv_bfloat16, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const floa…
      0.0           210336         12    17528.0    17488.0     15584     19808       1456.0  nvjet_sm121_tss_mma_32x32x64_12_32x8x64_tmaAB_bz_TNNN                                               
      0.0           190848         39     4893.5     6496.0      1568      7040       2253.2  void soft_max_f32<(bool)1, (int)512, (int)512, float>(const float *, const T4 *, const float *, flo…
      0.0           164512         12    13709.3    13600.0     12640     15424        696.1  nvjet_sm121_tss_mma_64x32x64_8_16x32x64_tmaAB_bz_TNNN                                               
      0.0           163680         12    13640.0    13120.0     13056     18848       1647.2  void cub::CUB_300001_SM_1210::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::CUB_300001_S…
      0.0           157664         12    13138.7    12720.0     11104     19008       2163.0  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x256_16x4_tn_align4>(T1::Params)              
      0.0           145823         12    12151.9    12320.0     10880     13024        625.1  void flash_attn_ext_f16<(int)256, (int)256, (int)2, (int)8, (bool)0, (bool)0>(const char *, const c…
      0.0           118656        108     1098.7      960.0       704      6304        767.3  init_offsets(int *, int, int)                                                                       
      0.0           117408         12     9784.0     8336.0      7392     19040       3901.3  void flash_attn_stream_k_fixup_uniform<(int)256, (int)8, (int)8>(float *, const float2 *, int, int,…
      0.0           114816         12     9568.0    10064.0      3520     14080       3170.1  void flash_attn_combine_results<(int)256>(const float *, const float2 *, float *, int)              
      0.0           104512         12     8709.3     8480.0      7744     11168        994.8  nvjet_sm121_tss_mma_64x56x64_6_16x56x64_tmaAB_splitK_TNNN                                           
      0.0            94880         72     1317.8     1024.0       768      5728        937.9  void cub::CUB_300001_SM_1210::detail::three_way_partition::DeviceThreeWayPartitionInitKernel<cub::C…
      0.0            93408          1    93408.0    93408.0     93408     93408          0.0  void mul_mat_vec_q<(ggml_type)23, (int)1, (bool)1, (bool)1, (bool)0>(const void *, const void *, co…
      0.0            85216         48     1775.3     1536.0      1472      6816        845.4  void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const float…
      0.0            71936         37     1944.2     1472.0      1408     12672       1880.4  void concat_cont<unsigned int, (int)0>(const T1 *, const T1 *, T1 *, long, long, long, long, long, …
      0.0            70720         36     1964.4     1568.0      1248     12640       1870.9  void unary_gated_op_kernel<&op_softplus, float>(const T2 *, const T2 *, T2 *, long, long, long, lon…
      0.0            69085         48     1439.3     1216.0      1184     10176       1292.1  void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGem…
      0.0            52704         51     1033.4      864.0       800      2080        386.4  void op_clamp_kernel<float>(const T1 *, T1 *, T1, T1, int)                                          
      0.0            48032         12     4002.7     2832.0      2720     15264       3579.0  void mul_mat_f<float, (int)32, (int)16, (int)2, (bool)0>(const T1 *, const float *, const int *, fl…
      0.0            47552         12     3962.7     3200.0      3136     11584       2413.8  void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)8>(float *, const float2 *, int, int,…
      0.0            45472         12     3789.3     2176.0      2144     19488       4974.3  void mul_mat_f<float, (int)32, (int)4, (int)2, (bool)0>(const T1 *, const float *, const int *, flo…
      0.0            44896         39     1151.2     1120.0      1056      1664        127.7  void k_bin_bcast<&op_div, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigne…
      0.0            26075         12     2172.9     1887.5      1760      3744        667.7  void mul_mat_f<float, (int)32, (int)8, (int)2, (bool)0>(const T1 *, const float *, const int *, flo…
      0.0            23104         12     1925.3     1760.0      1632      3456        498.0  void flash_attn_stream_k_fixup_uniform<(int)256, (int)2, (int)8>(float *, const float2 *, int, int,…
      0.0            18432         12     1536.0     1808.0       864      1888        444.0  void unary_op_kernel<&op_sgn, float>(const T2 *, T2 *, int)                                         
      0.0            15232         12     1269.3     1408.0       832      1472        259.4  void unary_op_kernel<&op_abs, float>(const T2 *, T2 *, int)                                         
      0.0            14432         12     1202.7     1344.0       864      1408        237.3  void unary_op_kernel<&op_sqrt, float>(const T2 *, T2 *, int)                                        

Processing [/tmp/nsys-4k.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count   Avg (ns)   Med (ns)  Min (ns)   Max (ns)   StdDev (ns)            Operation           
 --------  ---------------  -----  ----------  --------  --------  ----------  -----------  ------------------------------
     99.9      70093117184   6313  11102980.7     704.0       160  4589782784  126050436.7  [CUDA memcpy Host-to-Device]  
      0.0         34100050   3232     10550.8    2560.0       800      160480      13334.1  [CUDA memcpy Device-to-Device]
      0.0          8741888    357     24487.1   17312.0       800      160192      25516.7  [CUDA memcpy Device-to-Host]  
      0.0          5323232    205     25967.0    1984.0       992      599360     106109.2  [CUDA memset]                 

